filename	categories	classification	evidence	ids	ingredient_counts
my75s.yaml	bacterial,algae	DIFFERENT	2/6 ingredient rows shared; sizes [4, 4]	CultureMech:000372,CultureMech:000095	4,4
n75s.yaml	bacterial,algae	DIFFERENT	0/3 ingredient rows shared; sizes [1, 2]	CultureMech:000373,CultureMech:000097	2,1
n75s_nsw.yaml	bacterial,algae	DIFFERENT	0/3 ingredient rows shared; sizes [1, 2]	CultureMech:000374,CultureMech:000098	2,1
ncl.yaml	bacterial,algae	DIFFERENT	0/6 ingredient rows shared; sizes [1, 5]	CultureMech:000375,CultureMech:000099	5,1
ncl_0_01_npa.yaml	bacterial,algae	DIFFERENT	0/7 ingredient rows shared; sizes [1, 6]	CultureMech:000378,CultureMech:000102	6,1
ncl_mp.yaml	bacterial,algae	DIFFERENT	0/10 ingredient rows shared; sizes [1, 9]	CultureMech:000376,CultureMech:000103	9,1
ncl_pj.yaml	bacterial,algae	DIFFERENT	0/6 ingredient rows shared; sizes [1, 5]	CultureMech:000377,CultureMech:000101	5,1
ncl_pj_0_01_npa.yaml	bacterial,algae	DIFFERENT	0/7 ingredient rows shared; sizes [1, 6]	CultureMech:000379,CultureMech:000104	6,1
nn.yaml	bacterial,algae	DIFFERENT	0/10 ingredient rows shared; sizes [4, 6]	CultureMech:000380,CultureMech:000105	6,4
nss_low.yaml	bacterial,algae	DIFFERENT	0/13 ingredient rows shared; sizes [1, 12]	CultureMech:000383,CultureMech:000107	1,12
nutrient_agar_with_0_05_yeast_extract_and_3_nacl.yaml	bacterial,fungal	DIFFERENT	1/4 ingredient rows shared; sizes [2, 3]	CultureMech:007712,CultureMech:010490	2,3
oat_flakes_agar_with_yeast_extract.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004620,CultureMech:010466	6,6
oatmeal_agar_isp_3_with_0_1_yeast_extract.yaml	bacterial,fungal	DIFFERENT	0/3 ingredient rows shared; sizes [1, 2]	CultureMech:009825,CultureMech:010531	1,2
pas.yaml	bacterial,algae	DIFFERENT	0/8 ingredient rows shared; sizes [3, 5]	CultureMech:000385,CultureMech:000108	5,3
pc.yaml	bacterial,algae	DIFFERENT	0/8 ingredient rows shared; sizes [3, 5]	CultureMech:000386,CultureMech:000109	5,3
pe.yaml	bacterial,algae	DIFFERENT	0/9 ingredient rows shared; sizes [4, 5]	CultureMech:000387,CultureMech:000110	4,5
peptone_czapeks_agar.yaml	bacterial,fungal	DIFFERENT	5/9 ingredient rows shared; sizes [7, 7]	CultureMech:009965,CultureMech:010544	8,7
peptone_yeast_medium_with_mgso4.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006497,CultureMech:010477	4,4
per.yaml	bacterial,algae	DIFFERENT	0/6 ingredient rows shared; sizes [1, 5]	CultureMech:000388,CultureMech:000111	5,1
pfennigs_medium_i_with_yeast_extract.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:005189,CultureMech:010468	13,13
phototrophic_medium.yaml	bacterial,specialized	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:003838,CultureMech:015333	16,16
pj.yaml	bacterial,algae	DIFFERENT	0/5 ingredient rows shared; sizes [1, 4]	CultureMech:000389,CultureMech:000112	4,1
pj_nn.yaml	bacterial,algae	DIFFERENT	0/10 ingredient rows shared; sizes [1, 9]	CultureMech:000390,CultureMech:000113	9,1
pm.yaml	bacterial,algae,specialized	DIFFERENT	0/22 ingredient rows shared; sizes [3, 3, 16]	CultureMech:000391,CultureMech:000114,CultureMech:015678	3,3,16
potato_dextrose_agar.yaml	bacterial,fungal	DIFFERENT	2/4 ingredient rows shared; sizes [3, 3]	CultureMech:002667,CultureMech:010445	3,3
pp.yaml	bacterial,algae	DIFFERENT	0/7 ingredient rows shared; sizes [2, 5]	CultureMech:000392,CultureMech:000115	5,2
ppg.yaml	bacterial,algae	DIFFERENT	0/12 ingredient rows shared; sizes [5, 7]	CultureMech:000394,CultureMech:000116	7,5
ppy.yaml	bacterial,algae	DIFFERENT	1/3 ingredient rows shared; sizes [2, 2]	CultureMech:000395,CultureMech:000117	2,2
pygv_marine_medium_a.yaml	bacterial,specialized	DIFFERENT	7/54 ingredient rows shared; sizes [28, 33]	CultureMech:009516,CultureMech:015399	29,33
pygv_marine_medium_b.yaml	bacterial,specialized	DIFFERENT	0/35 ingredient rows shared; sizes [3, 32]	CultureMech:007647,CultureMech:015378	4,32
quarter_strength_marine_broth_2216.yaml	bacterial,specialized	DIFFERENT	0/2 ingredient rows shared; sizes [1, 1]	CultureMech:007635,CultureMech:015375	2,1
r2a.yaml	bacterial,specialized	DIFFERENT	0/9 ingredient rows shared; sizes [1, 8]	CultureMech:009495,CultureMech:015687	1,8
r75s.yaml	bacterial,algae	DIFFERENT	0/3 ingredient rows shared; sizes [1, 2]	CultureMech:000401,CultureMech:000118	2,1
r75s_nsw.yaml	bacterial,algae	DIFFERENT	0/3 ingredient rows shared; sizes [1, 2]	CultureMech:000402,CultureMech:000119	2,1
rpl.yaml	bacterial,algae	DIFFERENT	0/6 ingredient rows shared; sizes [1, 5]	CultureMech:000396,CultureMech:000120	5,1
rpl_0_01_rpa.yaml	bacterial,algae	DIFFERENT	0/7 ingredient rows shared; sizes [1, 6]	CultureMech:000399,CultureMech:000121	6,1
rpl_mp.yaml	bacterial,algae	DIFFERENT	0/10 ingredient rows shared; sizes [1, 9]	CultureMech:000397,CultureMech:000122	9,1
rpl_pj.yaml	bacterial,algae	DIFFERENT	0/6 ingredient rows shared; sizes [1, 5]	CultureMech:000398,CultureMech:000123	5,1
rpl_pj_0_01_rpa.yaml	bacterial,algae	DIFFERENT	0/7 ingredient rows shared; sizes [1, 6]	CultureMech:000400,CultureMech:000124	6,1
s77_vitamins.yaml	bacterial,algae	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:000309,CultureMech:000125	12,12
s88_vitamins.yaml	bacterial,algae	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:000310,CultureMech:000126	23,23
s_w.yaml	bacterial,algae	DIFFERENT	0/2 ingredient rows shared; sizes [1, 1]	CultureMech:000414,CultureMech:000138	1,1
s_w_amp.yaml	bacterial,algae	DIFFERENT	0/3 ingredient rows shared; sizes [1, 2]	CultureMech:000307,CultureMech:000136	2,1
s_w_ca.yaml	bacterial,algae	DIFFERENT	0/3 ingredient rows shared; sizes [1, 2]	CultureMech:000308,CultureMech:000137	2,1
sabouraud_glucose_medium.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004154,CultureMech:010453	2,2
saline_tryptone_yeast_extract_broth.yaml	bacterial,fungal	DIFFERENT	2/6 ingredient rows shared; sizes [4, 4]	CultureMech:010091,CultureMech:010546	5,4
sbbm.yaml	bacterial,algae	DIFFERENT	3/29 ingredient rows shared; sizes [8, 24]	CultureMech:000403,CultureMech:000127	24,9
se1.yaml	bacterial,algae	DIFFERENT	0/2 ingredient rows shared; sizes [1, 1]	CultureMech:000405,CultureMech:000128	1,1
se2.yaml	bacterial,algae	DIFFERENT	0/2 ingredient rows shared; sizes [1, 1]	CultureMech:000406,CultureMech:000129	1,1
