file_path	record_id	verdict	detail	ungrounded_siblings
bacterial/modified_vy_2_agar.yaml	CultureMech:008725	CURATOR: ground the sibling, or add it to the undefined list	3 other ingredient(s) not CHEBI-grounded	Dry yeast; β-glycerophosphate-2Na; Bacto Agar
bacterial/modified_ws_medium.yaml	CultureMech:008371	PROMOTED	0.1 g/L Bacto Yeast Extract (Difco); 35 others all CHEBI-grounded	
bacterial/moorella_glycerini_medium.yaml	CultureMech:001936	PROMOTED	0.497018 g/L Yeast extract; 31 others all CHEBI-grounded	
bacterial/mp_medium.yaml	CultureMech:000842	PROMOTED	0.1 g/L Yeast extract; 13 others all CHEBI-grounded	
bacterial/mpob_medium.yaml	CultureMech:003337	PROMOTED	0.395257 g/L Yeast extract; 32 others all CHEBI-grounded	
bacterial/msl86_medium.yaml	CultureMech:003650	PROMOTED	0.499002 g/L Yeast extract; 29 others all CHEBI-grounded	
bacterial/nad_s1_medium.yaml	CultureMech:003128	PROMOTED	0.46729 g/L Yeast extract; 29 others all CHEBI-grounded	
bacterial/nasu_iron_reducer_medium.yaml	CultureMech:002199	PROMOTED	0.484966 g/L Yeast extract; 23 others all CHEBI-grounded	
bacterial/natroniella_medium.yaml	CultureMech:001920	PROMOTED	0.19861 g/L Yeast extract; 29 others all CHEBI-grounded	
bacterial/natroniella_medium_replace_trace_element_solution_sl_4_medium_457_with_trace_element_solution_sl_11_medium_784.yaml	CultureMech:006483	PROMOTED	0.19861 g/L Yeast extract; 29 others all CHEBI-grounded	
bacterial/natroniella_sulfidigena_medium.yaml	CultureMech:000759	PROMOTED	0.199402 g/L Yeast extract; 31 others all CHEBI-grounded	
bacterial/natronincola_histidinovorans_medium.yaml	CultureMech:002103	PROMOTED	0.2 g/L Yeast extract; 33 others all CHEBI-grounded	
bacterial/natronoarchaea_medium_with_glucosamine.yaml	CultureMech:002376	PROMOTED	0.2 g/L Yeast extract; 27 others all CHEBI-grounded	
bacterial/natronoarchaea_medium_with_starch.yaml	CultureMech:002375	PROMOTED	0.2 g/L Yeast extract; 27 others all CHEBI-grounded	
bacterial/ne23_3_medium.yaml	CultureMech:002854	PROMOTED	0.110619 g/L Yeast extract; 28 others all CHEBI-grounded	
bacterial/nitrate_mineral_salts_medium_nms_0_01_tryptone.yaml	CultureMech:008446	CURATOR: ground the sibling, or add it to the undefined list	6 other ingredient(s) not CHEBI-grounded	Distilled deionized water; Purified Agar (e.g., Oxoid L28); Methane gas; Air; HCl (concentrated); EDTA, sodium salt
bacterial/nitrincola_medium.yaml	CultureMech:000616	PROMOTED	0.1 g/L Yeast extract; 5 others all CHEBI-grounded	
bacterial/nitrogen_free_medium_for_pseudomonas_stutzeri.yaml	CultureMech:001574	PROMOTED	0.2 g/L Yeast extract; 5 others all CHEBI-grounded	
bacterial/nm_57_medium.yaml	CultureMech:003220	PROMOTED	0.110619 g/L Yeast extract; 28 others all CHEBI-grounded	
bacterial/oceanidesulfovibrio_medium.yaml	CultureMech:001860	PROMOTED	0.1 g/L Yeast extract; 28 others all CHEBI-grounded	
bacterial/opitutus_terrae_medium.yaml	CultureMech:003095	PROMOTED	0.110619 g/L Yeast extract; 28 others all CHEBI-grounded	
bacterial/orenia_chitinitropha.yaml	CultureMech:001045	CURATOR: ground the sibling, or add it to the undefined list	2 other ingredient(s) not CHEBI-grounded	Chitin; B12
bacterial/orenia_metallireducens_medium.yaml	CultureMech:002316	PROMOTED	0.478927 g/L Yeast extract; 37 others all CHEBI-grounded	
bacterial/peat_medium_1_for_methanoregura_boonei.yaml	CultureMech:003270	CURATOR: ground the sibling, or add it to the undefined list	2 other ingredient(s) not CHEBI-grounded	HOMOPIPES; TiCl3
bacterial/peg_basal_medium.yaml	CultureMech:008681	CURATOR: ground the sibling, or add it to the undefined list	2 other ingredient(s) not CHEBI-grounded	Polypropylene glycol 4000 (PEG 4000); Agar (if needed)
bacterial/pelotomaculum_medium.yaml	CultureMech:002140	PROMOTED	0.0998004 g/L Yeast extract; 31 others all CHEBI-grounded	
bacterial/pelotomaculum_medium_for_dsm_17711.yaml	CultureMech:009211	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	N2 gas
bacterial/petrotoga_ar80_medium.yaml	CultureMech:003231	PROMOTED	0.098912 g/L Yeast extract; 25 others all CHEBI-grounded	
bacterial/phaeospirillum_medium.yaml	CultureMech:003002	PROMOTED	0.397614 g/L Yeast extract; 16 others all CHEBI-grounded	
bacterial/phc_medium.yaml	CultureMech:002045	CURATOR: ground the sibling, or add it to the undefined list	2 other ingredient(s) not CHEBI-grounded	Poly hexamethylene carbonate; Surfactant
bacterial/phototrophic_medium.yaml	CultureMech:003838	PROMOTED	0.4 g/L Yeast extract; 15 others all CHEBI-grounded	
bacterial/pirellula_medium_m33a.yaml	CultureMech:000905	PROMOTED	0.25 g/L Yeast extract; 34 others all CHEBI-grounded	
bacterial/planctomyces_pyreformis_medium.yaml	CultureMech:001009	PROMOTED	0.2 g/L Yeast extract; 25 others all CHEBI-grounded	
