filename,medium_name,extracted_organism,ncbi_taxon_id,ncbi_taxon_label,strain,culture_type,confidence,extraction_pattern,approve
bacterial/DSMZ_1049_SELENATE_REDUCER_MEDIUM.yaml,DSMZ 1049 SELENATE REDUCER MEDIUM,SELENATE REDUCER,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1053_SULFURIMONAS_PARALVINELLA_MEDIUM.yaml,DSMZ 1053 SULFURIMONAS PARALVINELLA MEDIUM,SULFURIMONAS PARALVINELLA,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1053a_THIOPROFUNDUM_LITHOTROPHICUM_MEDIUM.yaml,DSMZ 1053a THIOPROFUNDUM LITHOTROPHICUM MEDIUM,THIOPROFUNDUM LITHOTROPHICUM,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1058c_THIOHALORHABDUS_DENITRIFICANS_MEDIUM.yaml,DSMZ 1058c THIOHALORHABDUS DENITRIFICANS MEDIUM,THIOHALORHABDUS DENITRIFICANS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1058d_THIOHALOMONAS_DENITRIFICANS_MEDIUM.yaml,DSMZ 1058d THIOHALOMONAS DENITRIFICANS MEDIUM,THIOHALOMONAS DENITRIFICANS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1058e_THIOHALOBACTER_THIOCYANATICUS_MEDIUM.yaml,DSMZ 1058e THIOHALOBACTER THIOCYANATICUS MEDIUM,THIOHALOBACTER THIOCYANATICUS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_105_GLUCONOBACTER_OXYDANS_MEDIUM.yaml,DSMZ 105 GLUCONOBACTER OXYDANS MEDIUM,GLUCONOBACTER OXYDANS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1060_LYSOBACTER_DESERTI_MEDIUM.yaml,DSMZ 1060 LYSOBACTER DESERTI MEDIUM,LYSOBACTER DESERTI,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1063_MICROCELLA_ALKALIPHILA_MEDIUM.yaml,DSMZ 1063 MICROCELLA ALKALIPHILA MEDIUM,MICROCELLA ALKALIPHILA,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1064_BREVIBACILLUS_LEVICKII_MEDIUM.yaml,DSMZ 1064 BREVIBACILLUS LEVICKII MEDIUM,BREVIBACILLUS LEVICKII,,,,isolate,high,genus_species_medium,TRUE
