culturemech_id	file_path
CultureMech:000180	data/normalized_yaml/algae/Modified_CHEV_Medium.yaml
CultureMech:000181	data/normalized_yaml/algae/Modified_COMBO_Medium.yaml
CultureMech:000182	data/normalized_yaml/algae/Modified_Desmidiacean_Medium.yaml
CultureMech:000183	data/normalized_yaml/algae/N_20_Medium.yaml
CultureMech:000184	data/normalized_yaml/algae/Ochromonas_Medium.yaml
CultureMech:000185	data/normalized_yaml/algae/P49_Medium.yaml
CultureMech:000186	data/normalized_yaml/algae/Polytomella_Medium.yaml
CultureMech:000187	data/normalized_yaml/algae/Porphryridium_Medium.yaml
CultureMech:000188	data/normalized_yaml/algae/Proteose_Medium.yaml
CultureMech:000189	data/normalized_yaml/algae/SAG_Artificial_Seawater.yaml
CultureMech:000190	data/normalized_yaml/algae/SAG_BG11.yaml
CultureMech:000191	data/normalized_yaml/algae/SAG_Ba_al.yaml
CultureMech:000192	data/normalized_yaml/algae/SAG_Bacillariophycean.yaml
CultureMech:000193	data/normalized_yaml/algae/SAG_Beggiatoa.yaml
CultureMech:000194	data/normalized_yaml/algae/SAG_Bold_Modified_Ba_al.yaml
CultureMech:000195	data/normalized_yaml/algae/SAG_Bold_Modified_Ba_al_TOM.yaml
CultureMech:000196	data/normalized_yaml/algae/SAG_Bracki_h_water_medium.yaml
CultureMech:000197	data/normalized_yaml/algae/SAG_Chilomona.yaml
CultureMech:000198	data/normalized_yaml/algae/SAG_Cyanidium.yaml
CultureMech:000199	data/normalized_yaml/algae/SAG_De_midiacean.yaml
CultureMech:000200	data/normalized_yaml/algae/SAG_Dunaliella.yaml
CultureMech:000201	data/normalized_yaml/algae/SAG_Dunaliella_acid.yaml
CultureMech:000202	data/normalized_yaml/algae/SAG_Enriched_Seawater.yaml
CultureMech:000203	data/normalized_yaml/algae/SAG_Euglena.yaml
CultureMech:000204	data/normalized_yaml/algae/SAG_Malt_Peptone.yaml
CultureMech:000205	data/normalized_yaml/algae/SAG_Note_on_bipha_ic_oilwater_media_20081216.yaml
CultureMech:000206	data/normalized_yaml/algae/SAG_Ochromona.yaml
CultureMech:000207	data/normalized_yaml/algae/SAG_PES.yaml
CultureMech:000208	data/normalized_yaml/algae/SAG_Polytoma.yaml
CultureMech:000209	data/normalized_yaml/algae/SAG_Polytomella.yaml
CultureMech:000210	data/normalized_yaml/algae/SAG_Porphyridium.yaml
CultureMech:000211	data/normalized_yaml/algae/SAG_Seawater.yaml
CultureMech:000212	data/normalized_yaml/algae/SAG_Soil_Water_Media.yaml
CultureMech:000213	data/normalized_yaml/algae/SAG_Spirulina.yaml
CultureMech:000214	data/normalized_yaml/algae/SAG_Unicellular_Green_Algae.yaml
CultureMech:000215	data/normalized_yaml/algae/SAG_Volvox.yaml
CultureMech:000216	data/normalized_yaml/algae/SAG_WEES.yaml
CultureMech:000217	data/normalized_yaml/algae/SAG_Wood_ Hole MBL Medium.yaml
CultureMech:000218	data/normalized_yaml/algae/SAG_Z-Medium_for_Cyano.yaml
CultureMech:000219	data/normalized_yaml/algae/SS_Diatom_Medium.yaml
CultureMech:000220	data/normalized_yaml/algae/Snow_Algae_Medium.yaml
CultureMech:000221	data/normalized_yaml/algae/Soil_+_Seawater_Medium.yaml
CultureMech:000222	data/normalized_yaml/algae/Soil_Extract_+_Sodium_Metasilicate_Medium.yaml
CultureMech:000223	data/normalized_yaml/algae/Soil_Extract_Medium.yaml
CultureMech:000224	data/normalized_yaml/algae/Soilwater_BAR_Medium.yaml
CultureMech:000225	data/normalized_yaml/algae/Soilwater_GR+_Medium.yaml
CultureMech:000226	data/normalized_yaml/algae/Soilwater_GR+_NH4_Medium.yaml
CultureMech:000227	data/normalized_yaml/algae/Soilwater_GR-_Medium.yaml
CultureMech:000228	data/normalized_yaml/algae/Soilwater_GR-_NH4_Medium.yaml
CultureMech:000229	data/normalized_yaml/algae/Soilwater_PEA_Medium.yaml
CultureMech:000230	data/normalized_yaml/algae/Soilwater_Peat_Medium.yaml
CultureMech:000231	data/normalized_yaml/algae/Soilwater_VT_Medium.yaml
CultureMech:000232	data/normalized_yaml/algae/Spirulina_Medium.yaml
