culturemech_id	lineage_signature	file_path	display_name	lifecycle_status	successor_ids	lifecycle_note	catalog_schema_version
CultureMech:005296	sha256:881af1eaf5c778ebaf636747f5dc7b992643d0533187b429f90036f2539ecb46	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_6366.yaml	medium_453_modified_for_dsm_6366	ACTIVE			1
CultureMech:005297	sha256:6f7dea4e2b07684897145c5c83b6e5e5cc1c6734bcac431ac71dc5ab71df79f5	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_6406.yaml	medium_453_modified_for_dsm_6406	ACTIVE			1
CultureMech:005298	sha256:5f4ea71bfb67df754c4609ca7f8c1ea9d40cb40fd8545a7ec4ea298444abd3e5	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_6453.yaml	medium_453_modified_for_dsm_6453	ACTIVE			1
CultureMech:005299	sha256:f0ebdbbca7051ed3149a99b74624928beebdc13c1360002f86a559744a39e8ef	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_6454.yaml	medium_453_modified_for_dsm_6454	ACTIVE			1
CultureMech:005300	sha256:caf8ee1f4b2cc6b805829bce1f0231497e6fbdf6a32e57130b1b4c7d4a2bcd0f	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_6455.yaml	medium_453_modified_for_dsm_6455	ACTIVE			1
CultureMech:005301	sha256:f7e829612265826680b58187a85adf998d0a787285db6521b6afd77d138d8959	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_6458.yaml	medium_453_modified_for_dsm_6458	ACTIVE			1
CultureMech:005302	sha256:5063c8021464dc778ba233a77814a4bb645a49c25b8f1b2ddda6a75e367dc793	data/normalized_yaml/bacterial/medium_453_modified_for_dsm_6472.yaml	medium_453_modified_for_dsm_6472	ACTIVE			1
CultureMech:005303	sha256:e55b5d7e0b005fcbacefd161758476cedb64748a2fd42c74d238158205a54187	data/normalized_yaml/bacterial/KOMODO_453_STANDARD_I_medium.yaml	standard_i_medium	ACTIVE			1
CultureMech:005304	sha256:3f6e8e901b00b762605e5e12506a4c8c3cab86a51827aebe1b01724132df9c3b	data/normalized_yaml/bacterial/KOMODO_454_EBA_MEDIUM.yaml	eba_medium	ACTIVE			1
CultureMech:005305	sha256:8a752561055715ddce1d3160096ddd43ac3f33ef9d5e5a9224342bdf25e32ba9	data/normalized_yaml/bacterial/KOMODO_455_AMB_medium.yaml	amb_medium	ACTIVE			1
CultureMech:005306	sha256:f055c9a9b2d0f8385c0b058fdcfa4b28194ab94937f3cb75bb5ce151eb540f98	data/normalized_yaml/bacterial/KOMODO_456_KPL_medium.yaml	kpl_medium	ACTIVE			1
CultureMech:005307	sha256:3a48db8b4f09fb3ef5c14a0b2ea1ae950aa74b8e3c2490b454aeedd7d5cc96d7	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_10330.yaml	medium_457_modified_for_dsm_10330	ACTIVE			1
CultureMech:005308	sha256:415361f83c3b05f9d12907118eec92d257a46dc20c1ba6d8a507e6e698207a2a	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11019.yaml	medium_457_modified_for_dsm_11019	ACTIVE			1
CultureMech:005309	sha256:74c7db67ba66f49237531ec5e422a97cf5139b0791d86f13f3363793cfec8b9f	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11097.yaml	medium_457_modified_for_dsm_11097	ACTIVE			1
CultureMech:005310	sha256:a218b46ea1975cc8267fc640e94f08df90620aa0641bd14b58b076e28e5294d4	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11213.yaml	medium_457_modified_for_dsm_11213	ACTIVE			1
CultureMech:005311	sha256:a72fad18144905cef323cfa24837a6ca8fb7d8bf3ca46f2d4e50ca5fb85088fa	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11214.yaml	medium_457_modified_for_dsm_11214	ACTIVE			1
